id,indra_time,reading_time,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gama,mid-gama,signal_quality
8,2015-05-0923:14:57.318,2015-05-0916:14:57.526,17811.0,5357.0,10320.0,39122.0,1113.0,6927.0,2782.0,1295.0,0
2,2015-05-0923:14:57.584,2015-05-0916:14:56.686,260378.0,34586.0,20784.0,11447.0,17712.0,32687.0,7699.0,8348.0,200
12,2015-05-0923:14:57.891,2015-05-0916:14:56.637,1128671.0,21020.0,4504.0,7535.0,2674.0,4516.0,1054.0,380.0,51
5,2015-05-0923:14:58.034,2015-05-0916:14:57.263,1926057.0,664107.0,182443.0,86610.0,26131.0,145727.0,56619.0,89917.0,51
8,2015-05-0923:14:58.227,2015-05-0916:14:58.528,36377.0,34243.0,29053.0,27768.0,5284.0,12229.0,3601.0,1994.0,0
12,2015-05-0923:14:58.795,2015-05-0916:14:57.622,1382584.0,304529.0,141426.0,41755.0,39884.0,71294.0,3547.0,2560.0,25
2,2015-05-0923:14:58.796,2015-05-0916:14:57.670,860101.0,246989.0,10326.0,62840.0,104342.0,132768.0,89923.0,53698.0,200
5,2015-05-0923:14:59.237,2015-05-0916:14:58.279,766792.0,292727.0,64927.0,73470.0,148844.0,272462.0,67845.0,53060.0,51
8,2015-05-0923:14:59.435,2015-05-0916:14:59.527,66491.0,32793.0,23184.0,4198.0,7974.0,7288.0,4241.0,2862.0,0
2,2015-05-0923:14:59.636,2015-05-0916:14:58.690,1332175.0,1242592.0,117169.0,260423.0,257588.0,488862.0,112968.0,96428.0,200
12,2015-05-0923:15:00.000,2015-05-0916:14:58.622,1193529.0,94097.0,6237.0,21955.0,20379.0,12919.0,8660.0,11649.0,51
5,2015-05-0923:15:00.142,2015-05-0916:14:59.263,238084.0,240569.0,35011.0,85373.0,168816.0,191564.0,111086.0,109037.0,51
8,2015-05-0923:15:00.341,2015-05-0916:15:00.511,85053.0,21626.0,3966.0,12333.0,8839.0,10646.0,2153.0,2145.0,0
2,2015-05-0923:15:00.550,2015-05-0916:14:59.667,976765.0,704418.0,364291.0,148163.0,205078.0,280568.0,107187.0,151038.0,200
12,2015-05-0923:15:00.904,2015-05-0916:14:59.632,253721.0,6185.0,691.0,1332.0,3743.0,4761.0,785.0,627.0,26
5,2015-05-0923:15:01.046,2015-05-0916:15:00.248,1491455.0,29791.0,12408.0,7801.0,12608.0,4110.0,2724.0,1364.0,51
